season,round,pick_in_round,overall_pick,team_name,player_name,is_keeper,auction_price
2018,0,0,1,PokerA9,Todd Gurley,False,65
2018,0,0,2,Dave H's Team,Le'Veon Bell,False,66
2018,0,0,3,PokerA9,Antonio Brown,False,61
2018,0,0,4,Jamie's Fine Team,Kareem Hunt,False,46
2018,0,0,5,Going Streaking,Stefon Diggs,False,30
2018,0,0,6,Eric's Team,Saquon Barkley,False,68
2018,0,0,7,OBJYN,Harrison Butker,False,1
2018,0,0,8,Eric's Team,Drew Brees,False,11
2018,0,0,9,Going Streaking,Ezekiel Elliott,False,63
2018,0,0,10,Dave H's Team,David Johnson,False,66
2018,0,0,11,angry cat,Russell Wilson,False,19
2018,0,0,12,Gonna Get a TD,DeAndre Hopkins,False,61
2018,0,0,13,OBJYN,Odell Beckham Jr.,False,57
2018,0,0,14,Dave H's Team,Rob Gronkowski,False,33
2018,0,0,15,angry cat,Davante Adams,False,41
2018,0,0,16,OBJYN,Michael Thomas,False,44
2018,0,0,17,Eric's Team,Aaron Rodgers,False,36
2018,0,0,18,Good Times,Melvin Gordon III,False,46
2018,0,0,19,Good Times,Julio Jones,False,46
2018,0,0,20,Jamie's Fine Team,Devonta Freeman,False,32
2018,0,0,21,PokerA9,Jaguars,False,14
2018,0,0,22,angry cat,Josh Gordon,False,27
2018,0,0,23,Gonna Get a TD,Larry Fitzgerald,False,25
2018,0,0,24,angry cat,Tyreek Hill,False,25
2018,0,0,25,Dave H's Team,T.Y. Hilton,False,15
2018,0,0,26,angry cat,Joe Mixon,False,19
2018,0,0,27,PokerA9,Tom Brady,False,16
2018,0,0,28,Dave H's Team,Carson Wentz,False,9
2018,0,0,29,Good Times,Keenan Allen,False,27
2018,0,0,30,Going Streaking,A.J. Green,False,30
2018,0,0,31,Who is John Galt?,Greg Olsen,False,13
2018,0,0,32,Good Times,Alvin Kamara,False,70
2018,0,0,33,Going Streaking,Travis Kelce,False,19
2018,0,0,34,angry cat,Jordan Howard,False,29
2018,0,0,35,Who is John Galt?,Golden Tate,False,15
2018,0,0,36,Gonna Get a TD,Kenyan Drake,False,21
2018,0,0,37,Gonna Get a TD,Royce Freeman,False,15
2018,0,0,38,Eric's Team,Jerick McKinnon,False,14
2018,0,0,39,Who is John Galt?,Leonard Fournette,False,42
2018,0,0,40,OBJYN,Christian McCaffrey,False,28
2018,0,0,41,PokerA9,Kyle Rudolph,False,8
2018,0,0,42,Who is John Galt?,Dalvin Cook,False,33
2018,0,0,43,Eric's Team,Zach Ertz,False,13
2018,0,0,44,Gonna Get a TD,Mike Evans,False,25
2018,0,0,45,angry cat,JuJu Smith-Schuster,False,10
2018,0,0,46,Gonna Get a TD,Derrick Henry,False,9
2018,0,0,47,Going Streaking,LeSean McCoy,False,13
2018,0,0,48,Jamie's Fine Team,Kirk Cousins,False,4
2018,0,0,49,Gonna Get a TD,Alex Collins,False,13
2018,0,0,50,Jamie's Fine Team,Demaryius Thomas,False,16
2018,0,0,51,Going Streaking,Adam Thielen,False,15
2018,0,0,52,Who is John Galt?,Jay Ajayi,False,12
2018,0,0,53,Going Streaking,Deshaun Watson,False,21
2018,0,0,54,angry cat,Emmanuel Sanders,False,4
2018,0,0,55,Who is John Galt?,Cam Newton,False,6
2018,0,0,56,angry cat,Corey Davis,False,8
2018,0,0,57,PokerA9,Sammy Watkins,False,6
2018,0,0,58,Eric's Team,Jarvis Landry,False,5
2018,0,0,59,Jamie's Fine Team,Amari Cooper,False,20
2018,0,0,60,Eric's Team,Allen Robinson,False,9
2018,0,0,61,PokerA9,Chris Thompson,False,4
2018,0,0,62,Who is John Galt?,Lamar Miller,False,9
2018,0,0,63,Who is John Galt?,Eagles,False,4
2018,0,0,64,Jamie's Fine Team,Evan Engram,False,3
2018,0,0,65,Who is John Galt?,Brandin Cooks,False,6
2018,0,0,66,Who is John Galt?,Mark Ingram II,False,9
2018,0,0,67,Eric's Team,Alshon Jeffery,False,10
2018,0,0,68,Jamie's Fine Team,Texans,False,2
2018,0,0,69,Who is John Galt?,Jimmy Graham,False,7
2018,0,0,70,Jamie's Fine Team,Matthew Stafford,False,4
2018,0,0,71,Jamie's Fine Team,Justin Tucker,False,2
2018,0,0,72,OBJYN,Jimmy Garoppolo,False,8
2018,0,0,73,Who is John Galt?,Doug Baldwin,False,9
2018,0,0,74,angry cat,Rex Burkhead,False,3
2018,0,0,75,Gonna Get a TD,Chris Hogan,False,6
2018,0,0,76,Gonna Get a TD,Kerryon Johnson,False,9
2018,0,0,77,PokerA9,Marshawn Lynch,False,5
2018,0,0,78,Going Streaking,Chargers,False,2
2018,0,0,79,Gonna Get a TD,Patrick Mahomes,False,7
2018,0,0,80,PokerA9,Jared Goff,False,2
2018,0,0,81,PokerA9,Jake Elliott,False,1
2018,0,0,82,Eric's Team,Marvin Jones Jr.,False,4
2018,0,0,83,Eric's Team,Stephen Gostkowski,False,3
2018,0,0,84,PokerA9,Michael Crabtree,False,3
2018,0,0,85,Jamie's Fine Team,Ronald Jones,False,3
2018,0,0,86,Eric's Team,Rashaad Penny,False,5
2018,0,0,87,OBJYN,Tarik Cohen,False,4
2018,0,0,88,Going Streaking,Robert Woods,False,1
2018,0,0,89,Who is John Galt?,Greg Zuerlein,False,2
2018,0,0,90,Who is John Galt?,Matt Ryan,False,1
2018,0,0,91,Gonna Get a TD,Eric Ebron,False,2
2018,0,0,92,Dave H's Team,Nelson Agholor,False,1
2018,0,0,93,PokerA9,Devin Funchess,False,4
2018,0,0,94,OBJYN,Marquise Goodwin,False,9
2018,0,0,95,Gonna Get a TD,Adrian Peterson,False,3
2018,0,0,96,OBJYN,Trey Burton,False,11
2018,0,0,97,Jamie's Fine Team,Dion Lewis,False,7
2018,0,0,98,PokerA9,Dez Bryant,False,2
2018,0,0,99,Gonna Get a TD,Matt Prater,False,1
2018,0,0,100,Who is John Galt?,Jordy Nelson,False,3
2018,0,0,101,angry cat,O.J. Howard,False,3
2018,0,0,102,Eric's Team,Julian Edelman,False,2
2018,0,0,103,angry cat,Vikings,False,3
2018,0,0,104,Jamie's Fine Team,Philip Rivers,False,2
2018,0,0,105,Jamie's Fine Team,Carlos Hyde,False,4
2018,0,0,106,angry cat,Hunter Henry,False,1
2018,0,0,107,OBJYN,Jamaal Williams,False,1
2018,0,0,108,Dave H's Team,Will Fuller V,False,2
2018,0,0,109,Gonna Get a TD,Ravens,False,1
2018,0,0,110,PokerA9,Delanie Walker,False,4
2018,0,0,111,Dave H's Team,Bears,False,1
2018,0,0,112,Eric's Team,Rams,False,3
2018,0,0,113,Good Times,Cooper Kupp,False,1
2018,0,0,114,Jamie's Fine Team,Keelan Cole Sr.,False,3
2018,0,0,115,Jamie's Fine Team,Nick Chubb,False,8
2018,0,0,116,OBJYN,Sony Michel,False,1
2018,0,0,117,Going Streaking,Andrew Luck,False,1
2018,0,0,118,OBJYN,Aaron Jones Sr.,False,2
2018,0,0,119,Eric's Team,Tevin Coleman,False,5
2018,0,0,120,Dave H's Team,Ben Roethlisberger,False,1
2018,0,0,121,Gonna Get a TD,David Njoku,False,2
2018,0,0,122,OBJYN,Jamison Crowder,False,2
2018,0,0,123,angry cat,LeGarrette Blount,False,1
2018,0,0,124,OBJYN,Anthony Miller,False,8
2018,0,0,125,PokerA9,Marlon Mack,False,2
2018,0,0,126,Eric's Team,Kelvin Benjamin,False,2
2018,0,0,127,Good Times,Kenneth Barber,False,1
2018,0,0,128,angry cat,Chris Carson,False,1
2018,0,0,129,OBJYN,DJ Moore,False,1
2018,0,0,130,Going Streaking,Sterling Shepard,False,1
2018,0,0,131,Dave H's Team,Devontae Booker,False,1
2018,0,0,132,Good Times,Pierre Garcon,False,1
2018,0,0,133,OBJYN,Broncos,False,1
2018,0,0,134,Going Streaking,Wil Lutz,False,1
2018,0,0,135,Dave H's Team,Austin Ekeler,False,1
2018,0,0,136,Good Times,Isaiah Crowell,False,1
2018,0,0,137,Going Streaking,Matt Bryant,False,1
2018,0,0,138,Dave H's Team,Mike Gesicki,False,1
2018,0,0,139,Good Times,Kenny Golladay,False,1
2018,0,0,140,Going Streaking,Robbie Chosen,False,1
2018,0,0,141,Dave H's Team,Tyrell Williams,False,1
2018,0,0,142,Good Times,George Kittle,False,1
2018,0,0,143,Going Streaking,Tyler Eifert,False,1
2018,0,0,144,Dave H's Team,Allen Hurns,False,1
2018,0,0,145,Good Times,Jameis Winston,False,1
2018,0,0,146,Dave H's Team,Dan Bailey,False,1
2018,0,0,147,Good Times,Alex Smith,False,1
2018,0,0,148,Good Times,Jordan Reed,False,1
2018,0,0,149,Good Times,Panthers,False,1
2018,0,0,150,Good Times,Graham Gano,False,1
2019,0,0,1,Going Streaking,Ezekiel Elliott,False,54
2019,0,0,2,Good Times,David Johnson,False,47
2019,0,0,3,Going Streaking,Alvin Kamara,False,69
2019,0,0,4,Whiskey DITKA,Deshaun Watson,False,19
2019,0,0,5,Al's Team,Leonard Fournette,False,35
2019,0,0,6,Eric's Team,Aaron Rodgers,False,20
2019,0,0,7,PokerA9,Melvin Gordon III,False,21
2019,0,0,8,PokerA9,Antonio Brown,False,36
2019,0,0,9,Whiskey DITKA,Le'Veon Bell,False,49
