player_name,position,match_source
49ers,DEF,defense
A.J. Brown,WR,nflverse
A.J. Green,WR,nflverse_ambiguous
AJ Dillon,RB,nflverse
Aaron Jones Sr.,RB,nflverse_no_suffix
Aaron Rodgers,QB,nflverse
Adam Thielen,WR,nflverse
Adrian Peterson,RB,nflverse_ambiguous
Alex Collins,RB,nflverse
Alex Smith,QB,nflverse_ambiguous
Alexander Mattison,RB,nflverse
Allen Hurns,WR,nflverse
Allen Lazard,WR,nflverse
Allen Robinson,WR,nflverse
Alshon Jeffery,WR,nflverse
Alvin Kamara,RB,nflverse
Amari Cooper,WR,nflverse
Amon-Ra St. Brown,WR,nflverse
Andrew Luck,QB,nflverse
Anthony Miller,WR,nflverse_ambiguous
Anthony Richardson Sr.,QB,nflverse_no_suffix
Antonio Brown,WR,nflverse_ambiguous
Antonio Gibson,RB,nflverse_ambiguous
Ashton Jeanty,RB,nflverse
Austin Ekeler,RB,nflverse
Austin Hooper,TE,nflverse
Baker Mayfield,QB,nflverse
Bears,DEF,defense
Ben Roethlisberger,QB,nflverse
Bengals,DEF,defense
Bhayshul Tuten,RB,nflverse
Bijan Robinson,RB,nflverse
Bills,DEF,defense
Blake Corum,RB,nflverse
Bo Nix,QB,nflverse
Boston Scott,RB,nflverse
Braelon Allen,RB,nflverse
Brandin Cooks,WR,nflverse
Brandon Aiyuk,WR,nflverse
Brandon Aubrey,K,nflverse
Brandon McManus,K,nflverse
Breece Hall,RB,nflverse
Brenton Strange,TE,nflverse
Brian Robinson,RB,nflverse
Brian Thomas Jr.,WR,nflverse
Brock Bowers,TE,nflverse
Brock Purdy,QB,nflverse
Broncos,DEF,defense
Browns,DEF,defense
Buccaneers,DEF,defense
Bucky Irving,RB,nflverse
C.J. Stroud,QB,nflverse
Cairo Santos,K,nflverse
Caleb Williams,QB,nflverse
Calvin Ridley,WR,nflverse
Cam Akers,RB,nflverse
Cam Little,K,nflverse
Cam Newton,QB,nflverse_ambiguous
Cam Skattebo,RB,nflverse
Cameron Dicker,K,nflverse
Cardinals,DEF,defense
