season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2018,1,Who is John Galt?,angry cat,Loss,95.84,157.92,false,
2018,1,angry cat,Who is John Galt?,Win,157.92,95.84,false,
2018,1,Good Times,OBJYN,Win,173.20,88.34,false,
2018,1,OBJYN,Good Times,Loss,88.34,173.20,false,
2018,1,Eric's Team,Dave H's Team,Loss,116.64,130.90,false,
2018,1,Dave H's Team,Eric's Team,Win,130.90,116.64,false,
2018,1,Gonna Get a TD,Going Streaking,Win,99.44,88.84,false,
2018,1,Going Streaking,Gonna Get a TD,Loss,88.84,99.44,false,
2018,1,Jamie's Fine Team,PokerA9,Loss,89.16,122.68,false,
2018,1,PokerA9,Jamie's Fine Team,Win,122.68,89.16,false,
2018,2,Who is John Galt?,OBJYN,Win,114.50,107.04,false,
2018,2,OBJYN,Who is John Galt?,Loss,107.04,114.50,false,
2018,2,Good Times,angry cat,Win,98.98,95.94,false,
2018,2,angry cat,Good Times,Loss,95.94,98.98,false,
2018,2,Eric's Team,Going Streaking,Loss,126.92,181.10,false,
2018,2,Going Streaking,Eric's Team,Win,181.10,126.92,false,
2018,2,Gonna Get a TD,PokerA9,Win,145.04,115.16,false,
2018,2,PokerA9,Gonna Get a TD,Loss,115.16,145.04,false,
2018,2,Dave H's Team,Jamie's Fine Team,Win,145.98,125.20,false,
2018,2,Jamie's Fine Team,Dave H's Team,Loss,125.20,145.98,false,
2018,3,Who is John Galt?,Going Streaking,Loss,89.34,124.40,false,
2018,3,Going Streaking,Who is John Galt?,Win,124.40,89.34,false,
2018,3,Good Times,Dave H's Team,Win,149.36,115.72,false,
2018,3,Dave H's Team,Good Times,Loss,115.72,149.36,false,
2018,3,Eric's Team,PokerA9,Win,136.74,101.82,false,
2018,3,PokerA9,Eric's Team,Loss,101.82,136.74,false,
2018,3,angry cat,Gonna Get a TD,Loss,106.78,111.76,false,
2018,3,Gonna Get a TD,angry cat,Win,111.76,106.78,false,
2018,3,OBJYN,Jamie's Fine Team,Win,120.64,82.34,false,
2018,3,Jamie's Fine Team,OBJYN,Loss,82.34,120.64,false,
2018,4,Who is John Galt?,Dave H's Team,Loss,93.84,120.86,false,
2018,4,Dave H's Team,Who is John Galt?,Win,120.86,93.84,false,
2018,4,Good Times,PokerA9,Win,200.76,114.06,false,
2018,4,PokerA9,Good Times,Loss,114.06,200.76,false,
2018,4,Eric's Team,angry cat,Win,106.08,66.48,false,
2018,4,angry cat,Eric's Team,Loss,66.48,106.08,false,
2018,4,OBJYN,Gonna Get a TD,Loss,85.68,138.46,false,
2018,4,Gonna Get a TD,OBJYN,Win,138.46,85.68,false,
2018,4,Going Streaking,Jamie's Fine Team,Win,176.20,139.40,false,
2018,4,Jamie's Fine Team,Going Streaking,Loss,139.40,176.20,false,
2018,5,Who is John Galt?,PokerA9,Loss,76.88,129.54,false,
2018,5,PokerA9,Who is John Galt?,Win,129.54,76.88,false,
2018,5,Good Times,Eric's Team,Loss,91.60,132.92,false,
2018,5,Eric's Team,Good Times,Win,132.92,91.60,false,
2018,5,angry cat,OBJYN,Loss,105.12,137.70,false,
2018,5,OBJYN,angry cat,Win,137.70,105.12,false,
2018,5,Gonna Get a TD,Jamie's Fine Team,Loss,75.62,110.04,false,
2018,5,Jamie's Fine Team,Gonna Get a TD,Win,110.04,75.62,false,
2018,5,Going Streaking,Dave H's Team,Loss,115.80,129.60,false,
2018,5,Dave H's Team,Going Streaking,Win,129.60,115.80,false,
2018,6,Who is John Galt?,Jamie's Fine Team,Loss,117.40,122.32,false,
2018,6,Jamie's Fine Team,Who is John Galt?,Win,122.32,117.40,false,
2018,6,Good Times,Gonna Get a TD,Win,132.70,115.58,false,
2018,6,Gonna Get a TD,Good Times,Loss,115.58,132.70,false,
2018,6,Eric's Team,OBJYN,Loss,138.30,150.40,false,
2018,6,OBJYN,Eric's Team,Win,150.40,138.30,false,
2018,6,angry cat,Dave H's Team,Win,124.76,114.32,false,
2018,6,Dave H's Team,angry cat,Loss,114.32,124.76,false,
2018,6,Going Streaking,PokerA9,Loss,103.28,130.14,false,
2018,6,PokerA9,Going Streaking,Win,130.14,103.28,false,
2018,7,Who is John Galt?,Eric's Team,Loss,95.26,179.58,false,
2018,7,Eric's Team,Who is John Galt?,Win,179.58,95.26,false,
2018,7,Good Times,Jamie's Fine Team,Loss,99.36,122.34,false,
2018,7,Jamie's Fine Team,Good Times,Win,122.34,99.36,false,
2018,7,angry cat,Going Streaking,Loss,79.22,98.04,false,
2018,7,Going Streaking,angry cat,Win,98.04,79.22,false,
2018,7,OBJYN,PokerA9,Win,154.30,124.48,false,
2018,7,PokerA9,OBJYN,Loss,124.48,154.30,false,
2018,7,Gonna Get a TD,Dave H's Team,Win,117.72,106.50,false,
2018,7,Dave H's Team,Gonna Get a TD,Loss,106.50,117.72,false,
2018,8,Who is John Galt?,Gonna Get a TD,Loss,99.76,172.82,false,
2018,8,Gonna Get a TD,Who is John Galt?,Win,172.82,99.76,false,
2018,8,Good Times,Going Streaking,Loss,100.10,135.06,false,
2018,8,Going Streaking,Good Times,Win,135.06,100.10,false,
2018,8,Eric's Team,Jamie's Fine Team,Win,115.40,106.46,false,
2018,8,Jamie's Fine Team,Eric's Team,Loss,106.46,115.40,false,
2018,8,angry cat,PokerA9,Win,120.50,116.70,false,
2018,8,PokerA9,angry cat,Loss,116.70,120.50,false,
2018,8,OBJYN,Dave H's Team,Loss,82.54,139.08,false,
2018,8,Dave H's Team,OBJYN,Win,139.08,82.54,false,
2018,9,Who is John Galt?,Good Times,Loss,121.58,179.40,false,
2018,9,Good Times,Who is John Galt?,Win,179.40,121.58,false,
2018,9,Eric's Team,Gonna Get a TD,Win,138.22,90.60,false,
2018,9,Gonna Get a TD,Eric's Team,Loss,90.60,138.22,false,
2018,9,angry cat,Jamie's Fine Team,Win,113.92,112.06,false,
2018,9,Jamie's Fine Team,angry cat,Loss,112.06,113.92,false,
2018,9,OBJYN,Going Streaking,Loss,98.30,119.52,false,
2018,9,Going Streaking,OBJYN,Win,119.52,98.30,false,
2018,9,Dave H's Team,PokerA9,Win,124.30,115.94,false,
2018,9,PokerA9,Dave H's Team,Loss,115.94,124.30,false,
2018,10,Who is John Galt?,PokerA9,Win,114.92,92.72,false,
2018,10,PokerA9,Who is John Galt?,Loss,92.72,114.92,false,
2018,10,Good Times,Eric's Team,Win,152.80,114.64,false,
2018,10,Eric's Team,Good Times,Loss,114.64,152.80,false,
2018,10,angry cat,OBJYN,Loss,106.42,163.40,false,
